epoch,train_loss,train_acc,val_loss,val_acc,tainted,effective_batch_size,original_batch_size,test_acc,test_loss,synthetic_filled_row,synthetic_fill_policy
17,0.7526330761611462,73.50888888888889,0.7952798128128051,71.6,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
18,0.7268019890920683,74.5111111111111,0.7881437718868256,71.96,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
19,0.701702320440249,75.46666666666667,0.7737317502498626,72.0,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
20,0.6826808560978282,75.87555555555555,0.8229843974113464,71.46,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
21,0.664696490900083,76.53111111111112,0.7463047742843628,74.32,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
22,0.6458480480042371,77.22666666666667,0.7291855871677398,74.56,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
23,0.6283211340619759,77.99333333333334,0.7261372864246368,74.68,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
24,0.6123711934143846,78.32222222222222,0.7179311215877533,75.32,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
25,0.5995581928979267,78.8488888888889,0.7186791777610779,74.9,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
26,0.580589057538997,79.64666666666666,0.6809436619281769,76.14,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
27,0.5646646840667183,80.00666666666666,0.7172381162643433,74.82,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
28,0.553708527745171,80.52666666666667,0.6435434401035309,76.76,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
29,0.540522704239596,80.89555555555556,0.6859087109565735,76.1,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
30,0.5292726006697525,81.31555555555556,0.6844750940799713,75.88,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
31,0.5161490304903551,81.74222222222222,0.6554281294345856,77.06,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
32,0.5047232344407927,82.07333333333334,0.6651043653488159,76.68,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
33,0.492191695523533,82.90222222222222,0.6601523518562317,76.9,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
34,0.4785851516168226,83.12444444444445,0.6646247982978821,77.38,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
35,0.4709401531991633,83.4888888888889,0.5970124065876007,79.88,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
36,0.4638421803035519,83.85777777777778,0.6174502372741699,78.82,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
37,0.4497868687930432,84.20444444444445,0.6260627388954163,78.48,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
38,0.4378082186660983,84.65777777777778,0.654112559556961,77.54,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
39,0.4276075561276891,85.10444444444444,0.5987522304058075,79.58,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
40,0.4170207467607476,85.43333333333334,0.655090969800949,78.0,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
41,0.4116810736331073,85.66222222222223,0.6010176479816437,79.3,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
42,0.40416003187949,85.84666666666666,0.626137375831604,79.32,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
43,0.3968825419856743,86.18888888888888,0.5989798784255982,79.94,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
44,0.3888982510702176,86.4,0.5849136590957642,80.22,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
45,0.3767625770785592,86.74888888888889,0.6030392497777939,79.78,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
46,0.3743153835900805,86.94,0.5706295281648636,81.58,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
47,0.3626261334866285,87.22,0.5931869983673096,80.32,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
48,0.3601932694966143,87.5111111111111,0.5825794219970704,80.66,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
49,0.3492740465497428,87.87777777777778,0.5832581043243408,80.78,False,128,128,80.65,0.6059259623289108,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
50,0.3463617829097943,87.94444444444444,0.6144519180059433,79.98,False,128,128,80.65,0.6059259623289108,0,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
